State,Country,Explain
Banned,Algeria,"Arguing that they are not backed by anything physical, Algeria has banned cryptocurrencies"
Banned,Bolivia,The Central Bank has prohibited the use of cryptocurrencies because of their unregulated nature
Banned,Bangladesh,"Citing possibilities for money laundering and being unauthorized by the Bangladesh bank, Bitcoin and other cryptocurrencies are illegal"
Banned,Dominican Republic,"Citing that they are not legal tender, cryptocurrencies are illegal in the Dominican Republic"
Banned,Ghana,"Although cryptocurrencies are regarded as illegal in Ghana, the Bank of Ghana sees blockchain€s potential and are assessing how to fit it into their financial structure"
Banned,Nepal,Nepal€s central bank has banned Bitcoin because it is not a legal currency
Banned,The Republic of Macedonia,Citizens are warned that they cannot have crypto securities abroad.  Crypto is still illegal
Banned,Quatar,"Citing price volatility, possibility of financial crimes and lack of central government support, cryptocurrency activity is banned"
Banned,Vanuatu,"Several news outlets broke the story that Vanuatu accepted Bitcoin in exchange for citizenship. The country€s Citizenship Office, however, denied this  The country claims to accept only USD in exchange for citizenship."
Legally restricted,Bahrain,You need a license in order to use crypto-asset services in Bahrain
Legally restricted,China,"China€s digital Yuan has issued on-chain wages, a first for the country. Although having researched cryptocurrencies for many years, China is treading cautiously in the market, listing a whole gamut of rules in terms of restrictingInitial Coin Offerings (ICOs). China had the resources to operate with 70% of Bitcoin mining facilities, but that has been regulated by officials for environmental reasons"
Legally restricted,Hong Kong,"A law may be enacted that might restrict crypto trading to individuals who have over $1 million in their investment portfolio. Other than this, Hong Kong emphasizes certain regulations when it comes to ICOs.  Other than this, Hong Kong emphasizes certain regulations when it comes to ICOs"
Legally restricted,Iran,Financial institutions are not permitted to handle cryptocurrencies
Legally restricted,Kazakhstan,There are heavy cryptocurrency restrictions by the National Bank with exchanges and mining banned.  A complete ban of cryptocurrency has been contemplated
Legally restricted,Russia,Crypto is legal in Russia but is restricted.  Banks and exchanges have to be registered by the Central Bank and crypto cannot be used as a payment method
Legally restricted,Saudi Arabia,"Once banned, Bitcoin is now legal in the country.  Banks, however, are banned from participating"
Legally restricted,Turkey,Cryptocurrencies are not allowed as financial assets in banks. They also cannot be classified as payment tools
Legally restricted,Vietnam,"Although Bitcoin is still prohibited in trade relations by the State Bank, possession and trade in crypto is a tolerated occurrence for the average user. They also cannot be classified as payment tools"
Legal,Antigua and Barbuda,A bill was passed to protect exchanges and crypto users
