"exchange_id","name","year_established","country","url","trust_score","trading_volume_24h_btc"
"binance","Binance",2017,"Cayman Islands","https://www.binance.com/",10,548197.520731587
"ftx_spot","FTX",2019,"Antigua and Barbuda","https://ftx.com/",10,53677.8363601075
"okex","OKX",2013,"Belize","https://www.okx.com",10,49121.7322616847
"gdax","Coinbase Exchange",2012,"United States","https://www.coinbase.com",10,36756.8241610691
"huobi","Huobi Global",2013,"Seychelles","https://www.huobi.com",10,35074.4598629342
"gate","Gate.io",NA,"Hong Kong","https://gate.io/",10,24457.4113619603
"crypto_com","Crypto.com Exchange",2019,"Cayman Islands","https://crypto.com/exchange",10,14742.8678644914
"kraken","Kraken",2011,"United States","https://r.kraken.com/c/2223866/687155/10583",10,11914.5439995295
"bybit_spot","Bybit (Spot)",2018,NA,"https://www.bybit.com",10,10324.0904162388
"binance_us","Binance US",2019,"United States","https://www.binance.us/en",10,10131.9640773599
"bitfinex","Bitfinex",2014,"British Virgin Islands","https://www.bitfinex.com",10,5990.00169213631
"ftx_us","FTX.US",2020,"United States","https://ftx.us/",10,4586.38774110745
"gemini","Gemini",2014,"United States","https://gemini.sjv.io/bZ49k",10,1722.57890199699
"upbit","Upbit",2017,"South Korea","https://upbit.com",9,73166.9620534927
"kucoin","KuCoin",2014,"Seychelles","https://www.kucoin.com/",9,35370.774594484
"okcoin","Okcoin",2013,"United States","https://www.okcoin.com/",9,1210.12553952489
"nice_hash","NiceHash",NA,"Slovenia","https://www.nicehash.com",9,15.4259661737938
"xt","XT.COM",2018,"Seychelles","https://www.xt.com/",8,126486.168337212
"p2pb2b","P2PB2B",2018,"Estonia","https://p2pb2b.com/",8,94671.8426072876
"bitmart","BitMart",2017,"Cayman Islands","https://www.bitmart.com/en",8,88414.0882853151
"whitebit","WhiteBIT",2018,"Estonia","https://whitebit.com",8,73065.6074950339
"lbank","LBank",2017,"British Virgin Islands","https://www.lbank.info/",8,61197.909035373
"phemex","Phemex",2019,"Singapore","https://phemex.com/",8,43411.8454133986
"bitget","Bitget",2018,"Singapore","https://www.bitget.com/",8,39233.1601341601
"bigone","BigONE",2017,"Seychelles","https://bigone.com",8,37638.675261554
"mxc","MEXC Global",2018,NA,"https://www.mexc.com/",8,31134.6035993224
"bithumb","Bithumb",2014,"South Korea","https://www.bithumb.com/",8,19648.5327957888
"hotbit","Hotbit",NA,"Estonia","https://www.hotbit.io/",8,14579.2456191541
